NumAxe Jour Diam     X1       Y1       Z1      X2       Y2       Z2
    1     7    2.11    0.00    0.00   20.00   -2.05   -4.50   20.73
    1     7    2.11   -2.05   -4.50   20.73   -3.87   -9.15   21.03
    1     7    2.09   -3.87   -9.15   21.03   -5.91  -13.71   21.19
    1     7    2.05   -5.91  -13.71   21.19   -7.82  -18.33   21.33
    1     7    2.04   -7.82  -18.33   21.33  -10.31  -22.66   21.13
    1     7    2.03  -10.31  -22.66   21.13  -12.88  -26.95   21.04
    1     7    2.02  -12.88  -26.95   21.04  -15.05  -31.45   21.24
    1     8    1.99  -15.05  -31.45   21.24  -17.57  -35.77   21.21
    1     8    1.97  -17.57  -35.77   21.21  -20.59  -39.74   21.54
    1     8    1.96  -20.59  -39.74   21.54  -23.35  -43.86   22.19
    1     8    1.94  -23.35  -43.86   22.19  -26.21  -47.91   22.83
    1     8    1.90  -26.21  -47.91   22.83  -28.78  -52.00   24.12
    1     8    1.88  -28.78  -52.00   24.12  -30.93  -56.23   25.68
    1     8    1.85  -30.93  -56.23   25.68  -33.23  -60.56   26.70
    1     8    1.83  -33.23  -60.56   26.70  -35.64  -64.89   27.32
    1     9    1.80  -35.64  -64.89   27.32  -37.45  -69.47   28.19
    1     9    1.78  -37.45  -69.47   28.19  -39.28  -74.12   28.38
    1     9    1.75  -39.28  -74.12   28.38  -41.19  -78.74   28.33
    1     9    1.72  -41.19  -78.74   28.33  -43.27  -83.26   27.86
    1     9    1.68  -43.27  -83.26   27.86  -45.34  -87.81   28.11
    1     9    1.67  -45.34  -87.81   28.11  -48.02  -92.02   28.38
    1     9    1.64  -48.02  -92.02   28.38  -50.18  -96.49   28.98
    1    10    1.63  -50.18  -96.49   28.98  -51.83 -101.16   29.64
    1    10    1.61  -51.83 -101.16   29.64  -53.86 -105.69   30.24
    1    10    1.58  -53.86 -105.69   30.24  -55.58 -110.22   31.50
    1    10    1.55  -55.58 -110.22   31.50  -57.06 -114.87   32.58
    1    10    1.53  -57.06 -114.87   32.58  -58.79 -119.34   33.98
    1    10    1.51  -58.79 -119.34   33.98  -60.46 -123.97   34.88
    1    10    1.48  -60.46 -123.97   34.88  -62.35 -128.56   35.46
    1    10    1.45  -62.35 -128.56   35.46  -64.62 -133.00   35.77
    1    11    1.43  -64.62 -133.00   35.77  -66.40 -137.61   36.58
    1    11    1.43  -66.40 -137.61   36.58  -67.75 -142.30   37.68
    1    11    1.39  -67.75 -142.30   37.68  -69.03 -146.82   39.38
    1    11    1.39  -69.03 -146.82   39.38  -70.88 -151.23   40.83
    1    11    1.38  -70.88 -151.23   40.83  -72.89 -155.68   41.93
    1    11    1.34  -72.89 -155.68   41.93  -75.17 -160.04   42.78
    1    11    1.32  -75.17 -160.04   42.78  -77.42 -164.34   44.01
    1    12    1.26  -77.42 -164.34   44.01  -79.00 -168.86   45.44
    1    12    1.26  -79.00 -168.86   45.44  -80.14 -173.62   46.45
    1    12    1.26  -80.14 -173.62   46.45  -81.67 -178.36   46.93
    1    12    1.26  -81.67 -178.36   46.93  -83.37 -183.06   46.88
    1    12    1.26  -83.37 -183.06   46.88  -84.96 -187.78   46.46
    1    12    1.26  -84.96 -187.78   46.46  -87.17 -192.27   46.35
    1    12    1.26  -87.17 -192.27   46.35  -89.87 -196.46   45.94
    1    12    1.26  -89.87 -196.46   45.94  -92.72 -200.57   45.84
    1    13    1.26  -92.72 -200.57   45.84  -95.76 -204.51   45.46
    1    13    1.26  -95.76 -204.51   45.46  -98.23 -208.86   45.22
    1    13    1.26  -98.23 -208.86   45.22 -101.22 -212.86   45.36
    1    13    1.26 -101.22 -212.86   45.36 -104.45 -216.63   45.96
    1    13    1.26 -104.45 -216.63   45.96 -107.86 -220.08   47.17
    1    13    1.26 -107.86 -220.08   47.17 -111.64 -222.98   48.70
    1    13    1.26 -111.64 -222.98   48.70 -115.70 -225.57   50.04
    1    14    1.26 -115.70 -225.57   50.04 -119.58 -227.97   52.07
    1    14    1.26 -119.58 -227.97   52.07 -123.21 -230.35   54.56
    1    14    1.26 -123.21 -230.35   54.56 -126.54 -232.64   57.50
    1    14    1.26 -126.54 -232.64   57.50 -129.99 -234.35   60.70
    1    14    1.26 -129.99 -234.35   60.70 -133.47 -236.33   63.68
    1    14    1.26 -133.47 -236.33   63.68 -136.96 -237.68   67.00
    1    14    1.26 -136.96 -237.68   67.00 -140.67 -238.51   70.25
